/ [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[\"FIGURE.reveal.flex\",\"BLOCKQUOTE.font-display.text-fluid-md\",\"FIGCAPTION.mt-6.flex\"]}"
/ [mobile] "{\"sw\":576,\"cw\":390,\"over\":[\"SPAN.shrink-0.text-fluid-xs\",\"SPAN.shrink-0.text-fluid-xs\",\"SPAN.shrink-0.text-fluid-xs\"]}"
/treatments [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/treatments [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/treatments/neuromodulators [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/treatments/neuromodulators [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/treatments/medical-weight-loss [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/treatments/medical-weight-loss [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/concerns/lines-wrinkles [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/concerns/lines-wrinkles [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/concerns/body [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/concerns/body [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/results [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/results [mobile] "{\"sw\":390,\"cw\":390,\"over\":[\"SPAN.shrink-0.italic\"]}"
/pricing [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/pricing [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/membership [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/membership [mobile] "{\"sw\":390,\"cw\":390,\"over\":[\"TABLE.w-full.min-w-[640px]\",\"THEAD.\",\"TR.border-b.border-stone/60\"]}"
/about [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/about [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/team/elena-marsh [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/team/elena-marsh [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/team/sofia-reyes [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/team/sofia-reyes [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/quiz [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/quiz [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/book [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/book [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/book/confirmed [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/book/confirmed [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/support [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/support [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/support/aftercare/injectables [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/support/aftercare/injectables [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/support/aftercare/laser [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/support/aftercare/laser [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/support/policies [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/support/policies [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/faq [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/faq [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/contact [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/contact [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/gift-cards [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/gift-cards [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/journal [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/journal [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/journal/natural-first-philosophy [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/journal/natural-first-philosophy [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/privacy [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/privacy [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/terms [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/terms [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/medical-disclaimer [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/medical-disclaimer [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/accessibility [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/accessibility [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/styleguide [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[]}"
/styleguide [mobile] "{\"sw\":390,\"cw\":390,\"over\":[]}"
/this-route-does-not-exist [desktop] "{\"sw\":1440,\"cw\":1440,\"over\":[\"DIV.absolute.-right-24\"]}"
/this-route-does-not-exist [mobile] "{\"sw\":390,\"cw\":390,\"over\":[\"DIV.absolute.-right-24\"]}"
